File,Floor Area,Height,Volume,Number of Floors,External Wall Area,Ground Floor Area,Roof Area,Window Area,Total Heat Capacity,u-Value (Wall),u-Value (Ground Floor),u-Value (Roof),u-Value (Internal Floor),u-Value (Internal Wall),u-Value (Windows),g-Value (Windows),Heat Capacity (Floor Slabs),Infiltration,Permeability,Internal Mass,WWR (North),WWR (East),WWR (West),WWR (South),Building:Start Time,Building:Operating Hours,Building:Light Heat Gain,Building:Equipment Heat Gain,Building:Occupancy,Building:Heating Setpoint,Building:Cooling Setpoint,Boiler Efficiency,Heating COP,Cooling COP,Heating Load,Cooling Load,Lights Load,Thermal Energy,Operational Energy,EUI
Shape1_341,935.64,3,3119.408166,3,522.6193452,300,311.88,195.1768591,1072571997,0.212304688,0.2,0.2,0.498828125,0.598828125,0.790820313,0.331054688,872.265625,0.415,7.5,117.5390625,0.3,0.3,0.3,0.3,7.61328125,11.66666667,7.0234375,12.1953125,17.671875,20,25,0.940273438,2.52734375,3.20703125,4.857294476,1146.977567,2188.932505,55479.43041,74654.47916,79.78974729
Shape1_340,1151.36,3,4414.29697,3,859.0998256,300,287.84,241.4932708,1414766814,0.162304688,0.2,0.2,0.598828125,0.498828125,0.940820313,0.481054688,972.265625,0.328,7.5,87.5390625,0.3,0.3,0.3,0.3,8.61328125,12.66666667,9.0234375,10.1953125,21.671875,20,25,0.970273438,3.52734375,4.20703125,3.720018875,1810.644269,3649.04233,51118.87388,83084.48469,72.16203854
Shape1_328,1137.72,3,4468.660768,3,531.6096847,300,379.24,393.5555309,1194729891,0.202929688,0.2,0.2,0.430078125,0.442578125,0.950195313,0.490429688,828.515625,0.33,7.5,96.9140625,0.3,0.3,0.3,0.3,7.55078125,11.33333333,6.3984375,13.3203125,23.921875,20,25,0.949648438,4.46484375,2.64453125,3.772726003,2564.458692,2336.69497,57425.8163,77895.26424,68.46611138
Shape1_319,2140.59,3,6952.736214,3,704.4773756,300,713.53,340.1248213,2248620867,0.228710938,0.2,0.2,0.597265625,0.419140625,0.797851563,0.506835938,917.578125,0.37,7.5,110.5078125,0.3,0.3,0.3,0.3,7.75390625,12.16666667,7.8046875,13.2265625,22.484375,20,25,0.966054688,2.91796875,3.06640625,2.896748067,3882.735701,6482.113663,84163.94617,140947.2619,65.84505293
Shape1_309,1560.64,3,4776.41285,3,625.7921054,300,390.16,356.0697239,1535787230,0.247460938,0.2,0.2,0.484765625,0.481640625,0.854101563,0.300585938,830.078125,0.326,7.5,106.7578125,0.3,0.3,0.3,0.3,8.62890625,12.33333333,8.5546875,10.4765625,17.984375,20,25,0.962304688,3.04296875,2.94140625,3.28460498,2609.915432,5011.674982,69961.22557,113863.4984,72.95948996
Shape1_394,582.72,3,1917.740261,3,279.6657849,300,291.36,170.4833344,652952551.3,0.218945313,0.2,0.2,0.432421875,0.544921875,0.871679688,0.409570313,802.734375,0.429,7.5,94.8046875,0.3,0.3,0.3,0.3,8.40234375,11,8.6328125,10.9609375,22.140625,20,25,0.939570313,4.05078125,3.99609375,4.630216198,996.2812027,1693.81682,32106.81641,46944.65175,80.56125026
Shape1_363,3140.44,3,11402.49798,3,1063.635481,300,785.11,566.8476517,2846582316,0.204492188,0.2,0.2,0.483203125,0.414453125,0.814257813,0.326367188,819.140625,0.288,7.5,67.8515625,0.3,0.3,0.3,0.3,7.51953125,11.33333333,7.5859375,10.8828125,23.796875,20,25,0.974960938,2.62109375,3.98828125,2.942767772,4053.818831,8418.784962,112213.418,185961.9743,59.21526102
Shape1_362,721.82,3,2259.917365,3,355.2342485,300,360.91,122.3197801,878370198.5,0.154492188,0.2,0.2,0.583203125,0.514453125,0.964257813,0.476367188,919.140625,0.387,7.5,97.8515625,0.3,0.3,0.3,0.3,8.51953125,12.33333333,9.5859375,12.8828125,19.796875,20,25,0.944960938,3.62109375,2.98828125,3.331168599,1321.556136,2648.977118,32635.6094,55840.64895,77.3609057
Shape1_339,2431.52,3,9626.351207,3,1163.359834,300,607.88,400.6865445,2597040485,0.224804688,0.2,0.2,0.423828125,0.573828125,0.978320313,0.368554688,947.265625,0.283,7.5,80.0390625,0.3,0.3,0.3,0.3,8.86328125,12.83333333,7.5234375,12.6953125,18.671875,20,25,0.932773438,4.27734375,3.45703125,3.375333744,3530.101243,6665.609605,105730.3998,164121.1399,67.4973432
Shape1_320,867.51,3,3136.251069,3,594.601545,300,289.17,159.3439987,1070080668,0.246679688,0.2,0.2,0.492578125,0.505078125,0.931445313,0.396679688,966.015625,0.394,7.5,78.1640625,0.3,0.3,0.3,0.3,8.42578125,12.5,6.1484375,11.0703125,22.421875,20,25,0.938398438,3.08984375,2.76953125,5.309820069,833.4101903,1957.716747,54511.67078,71661.26949,82.60569848
